tag	name	vr	vm	is_retired
(0008,0001)	Length to End	UL	1	true
(0008,0005)	Specific Character Set	CS	1-n	false
(0008,0006)	Language Code Sequence	SQ	1	false
(0008,0008)	Image Type	CS	2-n	false
(0008,0010)	Recognition Code	SH	1	true
(0008,0012)	Instance Creation Date	DA	1	false
(0008,0013)	Instance Creation Time	TM	1	false
(0008,0014)	Instance Creator UID	UI	1	false
(0008,0015)	Instance Coercion DateTime	DT	1	false
(0008,0016)	SOP Class UID	UI	1	false
(0008,0017)	Acquisition UID	UI	1	false
(0008,0018)	SOP Instance UID	UI	1	false
(0008,0019)	Pyramid UID	UI	1	false
(0008,001A)	Related General SOP Class UID	UI	1-n	false
(0008,001B)	Original Specialized SOP Class UID	UI	1	false
(0008,001C)	Synthetic Data	CS	1	false
(0008,001D)	Sensitive Content Code Sequence	SQ	1	false
(0008,0020)	Study Date	DA	1	false
(0008,0021)	Series Date	DA	1	false
(0008,0022)	Acquisition Date	DA	1	false
(0008,0023)	Content Date	DA	1	false
(0008,0024)	Overlay Date	DA	1	true
(0008,0025)	Curve Date	DA	1	true
(0008,002A)	Acquisition DateTime	DT	1	false
(0008,0030)	Study Time	TM	1	false
(0008,0031)	Series Time	TM	1	false
(0008,0032)	Acquisition Time	TM	1	false
(0008,0033)	Content Time	TM	1	false
(0008,0034)	Overlay Time	TM	1	true
(0008,0035)	Curve Time	TM	1	true
(0008,0040)	Data Set Type	US	1	true
(0008,0041)	Data Set Subtype	LO	1	true
(0008,0042)	Nuclear Medicine Series Type	CS	1	true
(0008,0050)	Accession Number	SH	1	false
(0008,0051)	Issuer of Accession Number Sequence	SQ	1	false
(0008,0052)	Query/Retrieve Level	CS	1	false
(0008,0053)	Query/Retrieve View	CS	1	false
(0008,0054)	Retrieve AE Title	AE	1-n	false
(0008,0055)	Station AE Title	AE	1	false
(0008,0056)	Instance Availability	CS	1	false
(0008,0058)	Failed SOP Instance UID List	UI	1-n	false
(0008,0060)	Modality	CS	1	false
(0008,0061)	Modalities in Study	CS	1-n	false
(0008,0062)	SOP Classes in Study	UI	1-n	false
(0008,0063)	Anatomic Regions in Study Code Sequence	SQ	1	false
